cleaned,coords,loc_name,people_needs,category
typhoon agaton victims need help following droppedoff kakampink calinog hq sarisari breadstore canned goods noodles unused clothes inkind donations gcash 09993294929 sergio jose celestial halong kita kakampinks agatonph,122.587822/11.1485,calinog ,help,Medical Response
brothers sisters leyte cold afraid facing wrath agatonph moment several dead still missing thousands displaced families prayers much needed baybayneedshelp donation via gcash 09362945039,124.552177/11.33877,leyte leyte,help,Medical Response
typhoon agaton currently affecting kababayans visayas areas electricity water going way fast many yet rescued spread leyte needs help baybayneedshelp leyteneedshelp agatonph bagyongagaton,124.552177/11.33877,leyte leyte,water,Food & Clothes
donation drive leyte good day accepting cash donations people affected typhoon basyang agaton leyte bagyongagaton donate agatonph leyteneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
relief operation capiz communities affected typhoon agaton anyone willing donate still accepting donations kindly refer contact persons accounts address capizneedshelp agatonph,122.579987/11.24989,capiz,help,Medical Response
heartbreaking babies families fly high beautiful souls leyte needs assistance prayers leyteneedshelp baybayneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
donation drive kababayan leyte baybayneedshelp leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
sb19 related leyte needs help happen see leyte related posts share matters piso matters prayer matters agatonph leyteneedshelp baybayneedshelp abuyogneedshelp rescueph rescueleyte,124.552177/11.33877,leyte leyte,help,Medical Response
still accepting donations gcash kristel jane distajo 09479410948 bdo efren centillo 004880157395 inkind donations like food packs water supply may dropped leni headquarters burgos street roxas city agatonph capizneedshelp,126.071388/10.0325,burgos ,food,Food & Clothes
agatonph update prc southern leyte chapter brought water tankers provide water evacuees date april 12 2022 location baybay national high school report sent 4122022 11pm,124.552177/11.33877,leyte leyte,water,Food & Clothes
leyte needs media coverage beg hear cries people need help abscbnnews gmanews tv5newsnow cnnphilippines rescue help airforce leyteneedshelp leytecallforhelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
im iloilo attest iloiloneedshelp given number municipalities affected agatonph please donate support relief ops dedicated help kababayans,122.650482/10.84919,iloilo,help,Medical Response
call donations thread donation drives throughout leyte lot municipalities still affected ongoing rain humbly ask help trying times thank leyteneedshelp baybayneedshelp abuyogneedshelp agatonph rescueph,124.552177/11.33877,leyte leyte,help,Medical Response
philippine coast guard helps distributing relief goods iloilo residents evacuated due floods caused agatonph coastguardph,122.650482/10.84919,iloilo,help,Medical Response
leyte needs help need doctors food clothes agatonph leyteneedshelp baybayneedshelp abuyogneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
kababayans baybay leyte needs help monetary donations kyla shannen vidal gcash 09065952443 metrobank 3563356320175 inkind donations provinces shannen 09065952443 leyteneedshelp leytecallforhelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
capiz needs help look impact tropical storm agatonph capiz apparent sky seen aerial photos ace aerials dailyguardian capizneedshelp bangoncapiz,122.579987/11.24989,capiz,help,Medical Response
kababayans baybay leyte needs help monetary donations kyla shannen vidal gcash 09065952443 metrobank 3563356320175 inkind donations provinces shannen 09065952443 leyteneedshelp leytecallforhelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
praying people baybay amp abuyog leyte agatonph triggered massive landslide barangays lets help kababayans badly need,125.149437/10.62223,abuyog leyte,help,Medical Response
leyte needs help pray leyte kind donation accepted leyteneedshelp prayforleyte agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
brgy liong roxas city capiz capizneedshelp agatonph,119.241386/10.09141,roxas capiz,help,Medical Response
donation drive leyte leyteneedshelp leytecallforhelp baybayneedshelp abuyogneedshelp bagyongagaton rescueleyte agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
hello cnnphilippines please check video abuyog leyte baybay city leyte abuyogleyteneedshelp leyteneedshelp baybayneedshelp agatonph,125.149437/10.62223,abuyog leyte,help,Medical Response
send donations brgy mailhi sitio waterfall baybay leyte maraming salamat po leyteneedshelp baybayneedshelp agatonph leytecallforhelp,124.552177/11.33877,leyte leyte,water,Food & Clothes
call donation know hilongos baybay city leyte greatly affected agatonph response organizing donation drive raise money people affected typhoon leyteneedshelp,124.894531/10.35489,hilongos leyte,help,Medical Response
friends kababayans baybay leyte needs help monetary donations kyla shannen vidal gcash 09065952443 metrobank 3563356320175 inkind donations provinces shannen 09065952443 leyteneedshelp leytecallforhelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
showbiz issues trending agatonph people aware dont see urgency leyte needs help lack media coverage many people died already,124.552177/11.33877,leyte leyte,help,Medical Response
agatonph caused heavy landslides floodings many areas leyte baybay abuyog etc people need supplies funds raised utilized purchase relief goods repacking leyteneedshelp baybaycityneedshelp abuyogneedshelp,124.552177/11.33877,leyte leyte,relief goods,Food & Clothes
hello friends baybay city leyte needs help monetary donations kyla shannen vidal gcash 09065952443 metrobank 3563356320175 inkind donations provinces shannen 09065952443 leyteneedshelp leytecallforhelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
need help get baybay city leyte needs help please agatonph baybaycityneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
impact typhoon visayas severe pray people visayas especially leyte baybay iloilo capiz agatonph leyteneedshelp iloiloneedshelp capizneedshelp baybayneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
making mad come showbiz issues r trending agatonph fyi province capiz looks like moment also need help need heard lubog na rin kami sa baha many people died dying hunger capizneedshelp,122.579987/11.24989,capiz,help,Medical Response
capiz leni lenirobredo kikopangilinan capizneedshelp agatonph,122.579987/11.24989,capiz,help,Medical Response
kindly requesting donations landslide victims brgy pilar abuyog leyte thank po abuyogneedshelp leyteneedshelp agatonph reliefph,126.124962/9.84158,pilar leyte,help,Medical Response
hello filo nonfilo oomfs due heavy rains numerous city leyte lot people currently experiencing landslides floods many please spread word please pray leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
good day everyone ask help donations victims typhoon agaton area visayas like capiz leyte affected typhoon really need help victims area god bless everyone agatonph,124.552177/11.33877,leyte capiz,help,Medical Response
lets help balasenos leni balasan estancia send hot meals sa evacuees northern iloilo agatonph iloilo,123.120338/11.49771,balasan iloilo,help,Medical Response
typhoon agaton victims need help following droppedoff kakampink calinog hq sarisari breadstore canned goods noodles unused clothes inkind donations gcash 09993294929 sergio jose celestial halong kita kakampinks agatonph,122.587822/11.1485,calinog ,help,Medical Response
pontevedra capiz public market today please stay safe everyone capizneedshelp agatonph,123.013786/10.37741,pontevedra capiz,help,Medical Response
youth volunteers hard work relief operations iloilo sa gobyernong tapat angatbuhaylahat h lagon agatonph rescueiloilo capizneedshelp iloiloneedshelp,122.650482/10.84919,iloilo,help,Medical Response
agatonph aftermath look water level jalaur dam dingle iloilo still normal 1 pm today slowly subsiding photos jr laluma via nia6,122.735077/11.07625,dingle iloilo,water,Food & Clothes
rescue personnel help residents stranded floods panitan panay sigma capiz tuesday around 489 areas eight regions flooded due agatonph according ndrrmc coastguardph,122.784111/11.48399,panitan capiz,help,Medical Response
jenofitz please help us trend hashtags help fellow filipinos leyte leytecallforhelp leyteneedhelp leyteneedshelp agatonph rescueph,124.552177/11.33877,leyte leyte,help,Medical Response
donation dajong leyte garnered php9492948 would like extend heartfelt gratitude appreciation donated donation surely big help kababayans leyte victims wrath tropical storm agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
ikon related baybay leyte famous known city leyte knocking doors donate amount really big help please make viral issues right mas importante ni leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
current situation leyte must receive help soon possible leyteneedshelp iloiloneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
sadly leyte helping leyte surprising though anyway ignore pleas better watch karma btch better watch thank bless leyteneedshelp baybayneedshelp abuyogneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
please pray people got affected storm baybay leyte kindly retweet posts hashtags help trend thank agatonph leyteneedshelp baybayneedshelp abuyogneedshelp rescueph rescueleyte,124.552177/11.33877,leyte leyte,help,Medical Response
please spare time pray people affected baybay leyte kindly retweet posts hashtags help trend agatonph leyteneedshelp baybayneedshelp abuyogneedshelp rescueph rescueleyte,124.552177/11.33877,leyte leyte,help,Medical Response
antique disaster risk reduction council rescue team sent province capiz iloilo help rescue relief retrieval operations onslaught tropical depression agaton pia antique read agatonph laginghandaph,122.242104/11.13314,antique,help,Medical Response
region 8 needs help leyte needs media coverage agatonph leyteneedshelp baybayneedshelp abuyogneedshelp rescueph rescueleyte,124.552177/11.33877,leyte leyte,help,Medical Response
antique disaster risk reduction council rescue team sent province capiz iloilo help rescue relief retrieval operations onslaught tropical depression agaton pia antique read agatonph laginghandaph,122.242104/11.13314,antique,help,Medical Response
baybay leyte needs help baybay leyte one locations hit tropical storm agaton made landfall last april 10 around 100 barangays flooded four barangays affected landslides baybayneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
coverage capiz northern iloilo also greatly affected agatonph sun come earlier waters yet subsided started raining marami pa ang need irescue abscbnnews gmanews rapplerdotcom,122.579987/11.24989,capiz,water,Food & Clothes
sb19 related iloilo leyte places needs helps retweet ah big help donations drive agatonph baybayneedshelp abuyogneedshelp iloiloneedshelp,124.552177/11.33877,leyte iloilo,help,Medical Response
please help us trend hashtags help fellow filipinos leyte leytecallforhelp leyteneedhelp leyteneedshelp agatonph rescueph,124.552177/11.33877,leyte leyte,help,Medical Response
please help fellow filipinos leyte trending hashtags also want donate money please read photos details amount big help thank leytecallforhelp leyteneedhelp leyteneedshelp agatonph rescueph,124.552177/11.33877,leyte leyte,help,Medical Response
leyte badly devastated typhoon agaton especially baybay city abuyog please dont prioritize matters arent important need media coverage abscbnnews gmanews cnnbre abuyogneedshelp baybayneedshelp leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
lets pray help leyte agatonph leyteneedshelp baybayneedshelp abuyogneedshelp rescueph rescueleyte,124.552177/11.33877,leyte leyte,help,Medical Response
leyte needs help hello fellow vi fans kindly rt tweet spread word leyte needs help experiencing heavy rains led landslides amp floods agatonph leyteneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
gcash 09777303576 aina yzabelle c representative since peters gcash isnt verified yet palawan peter cajeric 09561991183 sitio waterfalls brgy mailhi baybay city leyte baybaycityneedshelp leyteneedshelp agatonph,124.552177/11.33877,leyte palawan,water,Food & Clothes
antique disaster risk reduction council rescue team sent province capiz iloilo help rescue relief retrieval operations onslaught tropical depression agaton pia antique read agatonph laginghandaph,122.242104/11.13314,antique,help,Medical Response
seen philippine red cross prc first responders biliran helped clearing blockage caused fallen trees national highway barangay habuhab culaba biliran brought agatonph prclifelineofthepeople,124.518044/11.47454,biliran biliran,help,Medical Response
𝗖𝗔𝗟𝗟 𝗙𝗢𝗥 𝗗𝗢𝗡𝗔𝗧𝗜𝗢𝗡𝗦 san rafael leni kiko opening donation channels agatonph victims san rafael iloilo please spread thank sanrafaelneedshelp northerniloiloneedshelp agatonph,122.650482/10.84919,iloilo,help,Medical Response
please lets help fellow kababayan leyte every share make big help spreading information whats happening leyteneedshelp agatonph one donation drive saw na legit since giving updates,124.552177/11.33877,leyte leyte,help,Medical Response
please dont stop spreading news whats happening leyte especially sa baybay need help leyteneedshelp abuyogneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
kapit kamay para sa baybay team initiating donation drive kababayans baybay leyte greatly affected continuing onslaught agatonph humbly asking support providing aids people ground leyteneedshelp 2,124.552177/11.33877,leyte leyte,help,Medical Response
look cuartero capiz submerged flood due agatonph seen photos taken oliver ace sibugan wednesday morning photos ace aerials agaton survivors asking help heres donate,122.752563/11.3446,cuartero capiz,help,Medical Response
pup college communication student council collaborates kabataan partylist tulong kabataan extend help families affected agatonph relief operations aims provide basic needs ample amounts family leyte,124.552177/11.33877,leyte leyte,tulong,Medical Response
pray leyte leytecallforhelp leyteneedhelp leyteneedshelp agatonph rescueph,124.552177/11.33877,leyte leyte,help,Medical Response
showbiz issues trending agatonph people aware dont see urgency abuyog leyte needs help lack media coverage many people died already,125.149437/10.62223,abuyog leyte,help,Medical Response
current situation sigma capiz rescue operation still ongoing capizneedshelp agatonph ctto mark tugna,122.728973/11.48514,sigma capiz,help,Medical Response
sad reality people cares happened rn leyte popular place go thats heart breaking leyteños please hear need help leytecallforhelp leyteneedshelp baybayneedshelp abuyogneedshelp agatonph basyangph,124.552177/11.33877,leyte leyte,help,Medical Response
please help leyte leytecallforhelp leyteneedhelp leyteneedshelp agatonph rescueph,124.552177/11.33877,leyte leyte,help,Medical Response
sa totoo lang pagod na pagod na ako nong odette times pa one talks leyte southern leyte much leyte really needs help leyteneedshelp baybayneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
donate many beneficiaries media coverage isnt showing devastation whats going leyte leyteneedshelp abuyogneedshelp baybayneedshelp agatonph leytecallforhelp,124.552177/11.33877,leyte leyte,help,Medical Response
capiz needs help pics ctto capizneedshelp agatonph,122.579987/11.24989,capiz,help,Medical Response
thread relief donation drives leyte agatonph leyteneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
donated old clothes typhoon agatonph victims baybay city leyte leyteneedshelp baybayneedshelp,124.552177/11.33877,leyte leyte,clothes,Food & Clothes
leyte home storms agatonph leyteneedshelp photo ctto,124.552177/11.33877,leyte leyte,help,Medical Response
serious note leyte still needs help national government nowhere found leyteneedshelp abuyogneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
pray leyte need help everybody landslides floodwaters ravaged neighbors please share spread awareness contibuted pics baybayneedshelp agatonph bagyongagaton,124.552177/11.33877,leyte leyte,help,Medical Response
leyteneedshelp baybayneedshelp agatonph im sad kind situation always leyte helps leyte call resilience anymore leyte needs help please wake showbiz issues need see focusing,124.552177/11.33877,leyte leyte,help,Medical Response
philippine coast guard use modified bamboo raft along local rescue boat help residents trapped flood brgy poblacion norte sigma capiz tuesday due agatonph coastguardph,122.728973/11.48514,sigma capiz,help,Medical Response
another typhoontyphoon agatononce wreaked havoc eastern visayas triggering flash floods landslides abuyog baybay leyte many affected families displaced currently desperate need assistance agatonph leyteneedshelp,125.149437/10.62223,abuyog leyte,help,Medical Response
hello relief drive heart capiz still ongoing please check donation details updates capizneedshelp agatonph bagyongagaton,122.579987/11.24989,capiz,help,Medical Response
good day stan twt abuyog leyte dire need help amount would highly appreciated rts qrts also encouraged appreciated thank agatonph leyteneedhelp abuyogneedshelp prayforleyte,125.149437/10.62223,abuyog leyte,help,Medical Response
decided give old clothes lost homes abuyog baybay different municipalities leyte starting move give support coleyteños mostly affected agatonph send ur help leyteneedshelp abuyogneedshelp baybayneedshelp,125.149437/10.62223,abuyog leyte,clothes,Food & Clothes
tw death blood kep1er kpop related pls help rt spread tweet whats currently happening leyte baybayneedshelp abuyogneedshelp leytecallforhelp leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
rapplerdotcom also pay attention plea brothers sisters leyte need media coverage assistance leytecallforhelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
philippinestar may also pay attention plea brothers sisters leyte need media coverage assistance leytecallforhelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
ancalerts pia_gutierrez may also pay attention plea brothers sisters leyte need media coverage assistance leytecallforhelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
cnnphilippines acnichollstan may also pay attention plea brothers sisters leyte need media coverage assistance leytecallforhelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
rapplerdotcom may also pay attention plea brothers sisters leyte need media coverage assistance leytecallforhelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
ancalerts may also pay attention plea brothers sisters leyte need media coverage assistance leyteneedhelp agatonph baybayneedshelp abuyogneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
municipality cuartero capiz 943am wed april 13 2022 pilot oliver ace sibugan agatonph capizneedshelp,122.752563/11.3446,cuartero capiz,help,Medical Response
capizneedshelp look impact tropical storm agatonph capiz apparent sky seen aerial photos ace aerials houses buildings still inundated floodwater 9 wednesday lighter homes damaged cuartero capiz,122.752563/11.3446,cuartero capiz,help,Medical Response
agatonph aftermath department public works highways prohibits crossing toledotabuelansan remegio road barangay jagbuaya tuburan avoid accidents half road section washed flood caused tropical storm agaton,123.944832/10.79067,tuburan ,accident,Medical Response
capiz needs help impact tropical storm agatonph capiz apparent sky seen aerial photos ace aerials least 11658 families 55911 individuals affected due tropical storm agaton iloilo atin donation drive victims,122.579987/11.24989,capiz,help,Medical Response
padre burgos community hospital pbch 09615728321 municipal police station 0906899532109985986530 padre burgos fire station 09679176025 coast guard station 09176280465 macrohon macrohon fire station 09770176852 leyteneedshelp baybayneedshelp agatonph,126.071388/10.0325,burgos ,help,Medical Response
hello news medias celebrities leyte needs help po agatonph leyteneedshelp baybayneedshelp abuyogneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
capiz needs help look impact tropical storm agatonph capiz apparent sky seen aerial photos ace aerials houses buildings still inundated floodwater 9 wednesday cuartero capiz seanrafio,122.752563/11.3446,cuartero capiz,help,Medical Response
hello friends shs classmates set donation drive victims agatonph leyte especially baybay city abuyog dire need help asking goodness hearts leytecallforhelp leyteneedhelp baybayneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
photos landslide triggered heavy rains brought agatonph buried houses mud village bunga baybay town leyte province april 12 2022 bobbie alota afp leyteneedshelp donate,124.552177/11.33877,leyte leyte,help,Medical Response
update status jalaur dam moroboro dingle iloilo 900 today april 13 2022 according national irrigation administration nia region 6 water slowly subsides jalaur river agatonph laginghandaph,122.735077/11.07625,dingle iloilo,water,Food & Clothes
please use hashtags help leyte leytecallforhelp leyteneedhelp leyteneedshelp agatonph rescueph,124.552177/11.33877,leyte leyte,help,Medical Response
calling donations hoping help many victims agatonph particularly abuyog suffered multiple landslides accepting donations incash inkind residents abuyog leyte greatly affected typhoon agatonph 12,125.149437/10.62223,abuyog leyte,help,Medical Response
update accessibility roads daang maharlika road tacloban maasin road passable due damageeroded bridge approach b hilusig bridge brgy hilusig leyteneedhelp baybayneedshelp capizneedshelp abuyogneedshelp iloiloneedshelp agatonph,122.484444/10.9444,maasin ,help,Medical Response
getting enough media coverage assistance please help us share going hometown leyte abscbnnews gmanews agatonph abuyogneedshelp baybayneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
miwo related please help areas affected typhoon agaton people leyte capiz need help need doctors foods clothes baybayneedshelp leyteneedhelp capizneedshelp iloiloneedshelp prayforleyte agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
tw landslides continue lot missinglost lives leyte needs help whether financial coverage lot people know magnitude agaton help spread awareness leyteneedshelp baybayneedshelp abuyogneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
leyte helping leyte city gets left behind leyteneedhelp baybayneedshelp abuyogneedshelp agatonph bagyongagaton,124.552177/11.33877,leyte leyte,help,Medical Response
ignoring whats happening leyte havent seen lot news people dying injured mourning leyte needs attention help right please vocal thats least leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
landslide happening brgy pilar abuyog leyte leyte really needs help media coverage poor province need attention highest position tulongan nyo po ang leyte need help leyteneedshelp leytecallforhelp agatonph,126.124962/9.84158,pilar leyte,help,Medical Response
lets keep hyping tweets currently happening leyte prayforleyte leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
since night pa walang update whats happening part panitan today happened walang info brgys na ang narescue far saan ilan evacuees sasabog na ata puso namin capizneedshelp agatonph rescueph,122.784111/11.48399,panitan ,help,Medical Response
heartbreaking lets help pray leyte leytecallforhelp leyteneedshelp agatonph rescueph,124.552177/11.33877,leyte leyte,help,Medical Response
capiz needs help capizneedshelp agatonph rescueph,122.579987/11.24989,capiz,help,Medical Response
deeply saddened lifes lost destructions caused agatonph storm baybay abuyog places leyte special thought patrick rachel renucci alangalang whose sustainable rice farming activities also affected,125.149437/10.62223,abuyog leyte,rice,Food & Clothes
hi leyte fine families parts leyte philippines may landslides baha nabecause week rain marami na rin ang nawawala nasisira leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
people baybay leyte really needs help leyteneedshelp baybayneedshelp abuyogneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
leyte really needs help leyteneedshelp baybayneedshelp abuyogneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
leyte need help leytecallforhelp leyteneedhelp leyteneedshelp agatonph rescueph,124.552177/11.33877,leyte leyte,help,Medical Response
leyte need help leytecallforhelp leyteneedhelp leyteneedshelp agatonph rescueph,124.552177/11.33877,leyte leyte,help,Medical Response
region 8 needs help zaia kindly rt donation drives updates onslaught leyte lets help kababayans make following tags trend thank agatonph abuyogneedshelp baybayneedshelp leyteneedshelp rescueleyte rescueph,124.552177/11.33877,leyte leyte,help,Medical Response
cebu city police officers also monitoring water levels rivers creeks around city ensure safety individuals seek safe havens ts agatonph barugsugbo,124.444077/10.62794,cebu,water,Food & Clothes
leyte needs help come leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
always dont get attention especially calamities like happened need media coverage assistance joke people leyte need help leyteneedshelp abuyogneedshelp baybaycityneedshelp agatonph basyangph,124.552177/11.33877,leyte leyte,help,Medical Response
tibong capiznon capizneedshelp agatonph monetary donations gcash evelyn bulquerin 09091302209 inkind donations please drop capiz national high schools principals office,122.579987/11.24989,capiz,help,Medical Response
tibong capiznon capizneedshelp agatonph monetary donations gcash evelyn bulquerin 09091302209 inkind donations please drop capiz national high schools principals office,122.579987/11.24989,capiz,help,Medical Response
leyte still needs help leytecallforhelp leyteneedhelp leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
cuartero capiz situation rescue still ongoing capizneedshelp agatonph crdts aceaerials,122.752563/11.3446,cuartero capiz,help,Medical Response
trigger warning leyte needs help get video lady screaming dont leave boat family left landslide hit please spread leyteneedshelp abuyogneedshelp baybayneedshelp agatonph leytecallforhelp,124.552177/11.33877,leyte leyte,help,Medical Response
knocking anyones door many municipalities barangay capiz experiencing high floods due heavy continuous rain agatonph brings capizneedshelp,122.579987/11.24989,capiz,help,Medical Response
lets keep hyping tweets currently happening leyte prayforleyte leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
leyte needs help entire villages either flooded completely buried mud soil appeal everyone please need urgent help leytecallforhelp leyteneedhelp leyteneedshelp agatonph rescueph,124.552177/11.33877,leyte leyte,help,Medical Response
please pray also rescuers animals safe please pray victims typhoon agaton dumarao capiz c ko ky hachuela agatonph capizneedshelp capizrescuer,122.888893/11.26843,dumarao capiz,help,Medical Response
agatonph really leaves much water causes high floods many area capiz capizneedshelp,122.579987/11.24989,capiz,water,Food & Clothes
crowd sourcing looking organizerhandlergroup donation drive located central luzon nueva ecija exact victims typhoon agaton leyte kindly dm leyteneedshelp baybayneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
lets pray leyte leytecallforhelp bagyongagaton agatonph leyteneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
pls help rt spread news happening leyte leyteneedshelp abuyogneedshelp baybayneedshelp agatonph bagyongagaton,124.552177/11.33877,leyte leyte,help,Medical Response
good morning instead trending celebrity issues please spread nalang po leytecallforhelp leyteneedhelp leyteneedshelp agatonph rescueph joke leyte needs help rn,124.552177/11.33877,leyte leyte,help,Medical Response
let us give way leyte incident tags need help 2 leytecallforhelp leyteneedhelp leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
ctto spearing awareness whats happening leyte kindly rt thankyou leyteneedshelp leytecallforhelp agatonph baybayneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
sb19trendsph capiz also needs help capizneedshelp leyteneedshelp agatonph,122.579987/11.24989,capiz,help,Medical Response
dumaraocapiz vid via bombo radyo roxas fb page link capizneedshelp basyangph agatonph,119.241386/10.09141,roxas ,help,Medical Response
pray leyte pls leytecallforhelp leyteneedhelp leyteneedshelp agatonph rescueph,124.552177/11.33877,leyte leyte,help,Medical Response
capiz also needs help pics ctto capizneedshelp basyangph agatonph rescueph,122.579987/11.24989,capiz,help,Medical Response
spread leyte needs help typhoon agaton currently affecting kababayans visayas areas electricity water going way fast many yet rescued crdts baybayneedshelp leyteneedshelp agatonph bagyongagaton,124.552177/11.33877,leyte leyte,help,Medical Response
city mayor dexter uy facilitates 37member team leave abuyog amp baybay city leyte help rescue amp relief ops agatonph catbalogancity derechouswagcatbalogan kamatinambuligonkatbalogan prayforleyte helpleyte,125.149437/10.62223,abuyog leyte,help,Medical Response
hello twitter donation drive links know extend help kababayans leyte gravely affected agatonph leyteneedshelp leytecallforhelp pls rt spread,124.552177/11.33877,leyte leyte,help,Medical Response
showbiz issues trending agatonph people aware dont see urgency abuyog leyte needs help lack media coverage many people died already,125.149437/10.62223,abuyog leyte,help,Medical Response
dingcervantes raissawriter leyte needs help agatonph baybayneedshelp abuyogneedshelp leyteneedshelp prayforleyte,124.552177/11.33877,leyte leyte,help,Medical Response
leyte needs help agatonph baybayneedshelp abuyogneedshelp leyteneedshelp prayforleyte,124.552177/11.33877,leyte leyte,help,Medical Response
lascanomacky_ leyte needs help agatonph baybayneedshelp abuyogneedshelp leyteneedshelp prayforleyte,124.552177/11.33877,leyte leyte,help,Medical Response
please rt current happenings leyte badly need help also check tag donation drives leyteneedshelp baybayneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
lets hope pray safety kababayan leyte leytecallforhelp leyteneedhelp leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
let us give way leyte incident tags need help lord heal land leytecallforhelp leyteneedhelp leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
agatonph basyangph malakastd abuyogneedshelp leyte,124.552177/11.33877,leyte leyte,help,Medical Response
let us give way leyte incident tags need help leytecallforhelp leyteneedhelp leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
neglecting telling us deserved whats happening leyte rn even calling karma majority leyteños prefer red side pink bullshit mga potangina ninyo leyteneedshelp baybayneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
situation panay capizneedshelp agatonph,122.890266/11.477714,panay ,help,Medical Response
hello please aware whats happening leyte right donate even smallest amount credible orgs please leyteneedshelp abuyogneedshelp baybayneedshelp agatonph leytecallforhelp,124.552177/11.33877,leyte leyte,help,Medical Response
know exposing persons needed especially comes money pero please yall settle naman leyte great need help talking lives leyteneedshelp abuyogneedshelp baybayneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
lets keep hyping tweets currently happening leyte prayforleyte leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
lets keep hyping tweets currently happening leyte prayforleyte leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
using sentinel1 tried map flooded areas capiz iloilo philippines due ts agatonph iloiloneedshelp,122.579987/11.24989,capiz,help,Medical Response
donation drive baybay leyte together co viscan social studies classmates knocking hearts donate amount gcash donating food packs victims agatonph baybay leyte baybayneedshelp leyteneedshelp,124.552177/11.33877,leyte leyte,food,Food & Clothes
pray leyte leytecallforhelp baybayneedshelp leyteneedshelp agatonph rescueph,124.552177/11.33877,leyte leyte,help,Medical Response
mahalima tweets need use platform first spread awareness typhoon agatonph brought leyte provinces visayas visayasneedshelp leyteneedshelp baybayneedshelp abuyogneedshelp capizneedshelp iloiloneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
opened twitter spread word leyte needs help baybayneedshelp abuyogneedshelp leyteneedshelp agatonph,124.552177/11.33877,leyte leyte,help,Medical Response
kpop related please lets offer help people leyte prayforleyte leyteneedshelp baybayneedshelp agatonph abuyogneedshelp,124.552177/11.33877,leyte leyte,help,Medical Response
